date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
02-Jan-2023,25-Jan-2023,FUTIDX,NIFTY,18209,18294.4,18164.7,18275.85,18278.7,18206.85,18275.85,5476450,998947.35,10688150,50600,50,18197.45
02-Jan-2023,23-Feb-2023,FUTIDX,NIFTY,18308.25,18369,18250,18352.85,18357,18290.75,18352.85,290450,53211.17,967500,7000,50,18197.45
02-Jan-2023,29-Mar-2023,FUTIDX,NIFTY,18378,18450,18336.85,18433.2,18439.1,18368.85,18433.2,90200,16602.61,95350,36150,50,18197.45
03-Jan-2023,25-Jan-2023,FUTIDX,NIFTY,18234.9,18333.9,18210.05,18317.3,18315,18275.85,18317.3,6796200,1241936.86,10972750,284600,50,
03-Jan-2023,23-Feb-2023,FUTIDX,NIFTY,18319,18405,18290,18391.8,18390.05,18352.85,18391.8,350450,64311.83,1028600,61100,50,
03-Jan-2023,29-Mar-2023,FUTIDX,NIFTY,18400,18477,18375,18463.65,18461,18433.2,18463.65,77250,14238.69,110300,14950,50,
04-Jan-2023,25-Jan-2023,FUTIDX,NIFTY,18299,18303.3,18083.2,18103.05,18102.95,18317.3,18103.05,10588200,1923511.26,11165400,192650,50,18042.95
04-Jan-2023,23-Feb-2023,FUTIDX,NIFTY,18381.7,18381.7,18155.3,18169.4,18168,18391.8,18169.4,728500,132802.39,1261750,233150,50,18042.95
04-Jan-2023,29-Mar-2023,FUTIDX,NIFTY,18438.9,18447.75,18241,18252.2,18248.3,18463.65,18252.2,137200,25125.53,122750,12450,50,18042.95
05-Jan-2023,25-Jan-2023,FUTIDX,NIFTY,18155,18190,17964.4,18066,18070.05,18103.05,18066,10757150,1944629.25,11157600,-7800,50,
05-Jan-2023,23-Feb-2023,FUTIDX,NIFTY,18196.5,18255,18032,18130.7,18135,18169.4,18130.7,662000,120058.18,1282800,21050,50,
05-Jan-2023,29-Mar-2023,FUTIDX,NIFTY,18294.9,18325,18118.05,18207.4,18209,18252.2,18207.4,185900,33864.86,149700,26950,50,
06-Jan-2023,25-Jan-2023,FUTIDX,NIFTY,18073.6,18132,17872.05,17943.2,17949.05,18066,17943.2,10442450,1877941.34,11521550,363950,50,
