date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
01-Jan-2025,30-Jan-2025,FUTIDX,NIFTY,23500,23964,23500,23897.85,23907,23805.85,23897.85,4393225,1047986.82,13270450,-20750,25,23742.9
01-Jan-2025,27-Feb-2025,FUTIDX,NIFTY,23910.05,24100,23855,24039.75,24050,23952.85,24039.75,216600,51971.44,1045725,23250,75,23742.9
01-Jan-2025,27-Mar-2025,FUTIDX,NIFTY,24036.05,24250,24004.85,24195.4,24210,24094,24195.4,88575,21391.78,126525,13575,75,23742.9
02-Jan-2025,30-Jan-2025,FUTIDX,NIFTY,23911,24314,23863.1,24282.65,24270.1,23897.85,24282.65,8475525,2044991.54,12424650,-845800,25,24188.65
02-Jan-2025,27-Feb-2025,FUTIDX,NIFTY,24062,24444,24008.45,24410.85,24406.25,24039.75,24410.85,527775,128082.56,1093575,47850,75,24188.65
02-Jan-2025,27-Mar-2025,FUTIDX,NIFTY,24222.75,24584.95,24165.95,24554.3,24550,24195.4,24554.3,197025,48098.12,197775,71250,75,24188.65
03-Jan-2025,30-Jan-2025,FUTIDX,NIFTY,24240,24268.95,24071.4,24092.4,24074.8,24282.65,24092.4,6550100,1582146.61,12608625,183975,25,24004.75
03-Jan-2025,27-Feb-2025,FUTIDX,NIFTY,24370.1,24400,24213,24234.15,24216.05,24410.85,24234.15,452175,109844.11,1084650,-8925,75,24004.75
03-Jan-2025,27-Mar-2025,FUTIDX,NIFTY,24525,24533.35,24370,24384.6,24370,24554.3,24384.6,131250,32075.92,186750,-11025,75,24004.75
06-Jan-2025,30-Jan-2025,FUTIDX,NIFTY,24145.1,24150,23660,23721.05,23730,24092.4,23721.05,9534850,2275385.36,12439200,-169425,25,23616.05
06-Jan-2025,27-Feb-2025,FUTIDX,NIFTY,24276,24286,23801,23857.35,23865,24234.15,23857.35,716025,171757.35,1062075,-22575,75,23616.05
06-Jan-2025,27-Mar-2025,FUTIDX,NIFTY,24389.95,24440,23957.65,24014.6,24013.4,24384.6,24014.6,281925,68023.95,217050,30300,75,23616.05
07-Jan-2025,30-Jan-2025,FUTIDX,NIFTY,23800.2,23890,23738.75,23795.05,23785.45,23721.05,23795.05,4250825,1012673.15,12651100,211900,25,23707.9
07-Jan-2025,27-Feb-2025,FUTIDX,NIFTY,23919.95,24017.45,23877,23934.4,23932,23857.35,23934.4,371325,88971.72,1104225,42150,75,23707.9
07-Jan-2025,27-Mar-2025,FUTIDX,NIFTY,24014,24175,24013.95,24089.4,24084.95,24014.6,24089.4,154050,37157.3,263400,46350,75,23707.9
08-Jan-2025,30-Jan-2025,FUTIDX,NIFTY,23800,23839,23593.3,23781.35,23776.35,23795.05,23781.35,5947575,1411045.43,12927575,276475,25,23688.95
08-Jan-2025,27-Feb-2025,FUTIDX,NIFTY,23952,23975.7,23737.05,23922.9,23915,23934.4,23922.9,632175,150781.74,1231575,127350,75,23688.95
08-Jan-2025,27-Mar-2025,FUTIDX,NIFTY,24050,24129,23899.9,24081.7,24070.95,24089.4,24081.7,188700,45293.34,295350,31950,75,23688.95
09-Jan-2025,30-Jan-2025,FUTIDX,NIFTY,23759,23759,23612.9,23648.1,23671.1,23781.35,23648.1,4573775,1082342.06,13641200,713625,25,23526.5
09-Jan-2025,27-Feb-2025,FUTIDX,NIFTY,23911,23911,23755.05,23789.3,23812.15,23922.9,23789.3,512025,121850.5,1442700,211125,75,23526.5
09-Jan-2025,27-Mar-2025,FUTIDX,NIFTY,24051,24051.05,23915.65,23949.05,23958.35,24081.7,23949.05,126750,30372.43,333300,37950,75,23526.5
10-Jan-2025,30-Jan-2025,FUTIDX,NIFTY,23625.05,23684.9,23430,23500.65,23515,23648.1,23500.65,6542575,1541207.83,13543325,-97875,25,23431.5
10-Jan-2025,27-Feb-2025,FUTIDX,NIFTY,23770.3,23822.45,23567.75,23640.15,23653,23789.3,23640.15,904875,214238.9,1833600,390900,75,23431.5
10-Jan-2025,27-Mar-2025,FUTIDX,NIFTY,23916,23974.95,23730.05,23797.55,23815,23949.05,23797.55,259575,61877,385425,52125,75,23431.5
13-Jan-2025,30-Jan-2025,FUTIDX,NIFTY,23400,23408.3,23112.1,23162.1,23168.05,23500.65,23162.1,6969550,1620516.06,13866925,323600,25,23085.95
13-Jan-2025,27-Feb-2025,FUTIDX,NIFTY,23453.05,23550,23250,23298.05,23298.8,23640.15,23298.05,1101750,257518.87,2335725,502125,75,23085.95
13-Jan-2025,27-Mar-2025,FUTIDX,NIFTY,23700,23700,23410.65,23452.8,23459,23797.55,23452.8,268575,63258.97,408675,23250,75,23085.95
14-Jan-2025,30-Jan-2025,FUTIDX,NIFTY,23248,23339,23198.45,23271.75,23280,23162.1,23271.75,4867475,1132412.67,13753850,-113075,25,23176.05
14-Jan-2025,27-Feb-2025,FUTIDX,NIFTY,23348,23471.2,23335.75,23399.6,23425.35,23298.05,23399.6,818100,191381.38,2802150,466425,75,23176.05
14-Jan-2025,27-Mar-2025,FUTIDX,NIFTY,23518,23620,23493,23562.4,23576,23452.8,23562.4,145875,34355.84,411450,2775,75,23176.05
