date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
01-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,59920,59992.2,59802.8,59955.6,59962.2,59883.6,59955.6,354120,212239.81,1317210,69210,30,59711.55
01-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60279.8,60314.4,60144,60280.8,60275,60222.6,60280.8,15600,9400.24,89580,3930,30,59711.55
01-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60595,60690,60548.2,60652.4,60658,60612.8,60652.4,3990,2419.36,12930,1140,30,59711.55
02-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,60020,60400,59971,60341,60390,59955.6,60341,693600,418080.24,1379460,62250,30,60150.95
02-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60325,60725,60321,60691.2,60715,60280.8,60691.2,57930,35111.4,101400,11820,30,60150.95
02-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60698,61092,60698,61038.4,61060,60652.4,61038.4,13590,8286.6,19800,6870,30,60150.95
05-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,60430,60538.4,60016,60173,60157,60341,60173,798060,481103.59,1336980,-42480,30,60044.2
05-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60749.8,60860,60360,60502.6,60494,60691.2,60502.6,62610,37978.04,102630,1230,30,60044.2
05-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,61076,61225.4,60740,60877.6,60833,61038.4,60877.6,11460,6990.68,19740,-60,30,60044.2
06-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,60201,60460,60142.2,60312.8,60320,60173,60312.8,527790,318469.02,1436940,99960,30,60118.4
06-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60502.6,60796.2,60502.6,60636.6,60655,60502.6,60636.6,34950,21203.36,108210,5580,30,60118.4
06-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60877.6,61149.8,60877.6,61024.8,61040,60877.6,61024.8,7860,4797.85,22050,2310,30,60118.4
07-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,60299.8,60299.8,59966,60171.2,60170,60312.8,60171.2,705090,423906.71,1278960,-157980,30,59990.85
07-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60636.6,60636.6,60321.2,60514.6,60505.4,60636.6,60514.6,41520,25105.31,103950,-4260,30,59990.85
07-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60906.2,60965,60704.2,60901,60899,61024.8,60901,12390,7538.06,23220,1170,30,59990.85
08-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,60110,60252.8,59755,59885.2,59874.2,60171.2,59885.2,802560,481292.74,1173900,-105060,30,59686.5
08-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60401,60585.2,60120,60241.4,60221.6,60514.6,60241.4,46830,28242.95,105360,1410,30,59686.5
08-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60708.2,60955,60505,60639.4,60637.8,60901,60639.4,17610,10682.41,30300,7080,30,59686.5
09-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,59890,59930.4,59441,59541.4,59525,59885.2,59541.4,871110,519493.8,1200600,26700,30,59251.55
09-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60185.4,60267,59799.2,59881.2,59860,60241.4,59881.2,86550,51905.74,120510,15150,30,59251.55
09-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60637.8,60667.6,60200,60268.8,60246,60639.4,60268.8,39990,24145.21,46290,15990,30,59251.55
12-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,59600,59812.6,59127.6,59730.4,59760,59541.4,59730.4,943230,561377.39,1260240,59835,30,59450.5
12-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,59550.4,60141.2,59470,60070.6,60099,59881.2,60070.6,84450,50494.28,142980,22470,30,59450.5
12-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60355.2,60529,59855.2,60456.6,60465,60268.8,60456.6,30060,18095.9,53670,7380,30,59450.5
13-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,59880,59930,59450,59755.2,59739,59730.4,59755.2,732570,437369.54,1198560,-61680,30,59578.8
13-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60200,60212.2,59797,60083.6,60079,60070.6,60083.6,51150,30706.9,147810,4830,30,59578.8
13-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60537.8,60585,60190,60489.4,60450,60456.6,60489.4,15060,9099.5,56850,3180,30,59578.8
14-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,59690,59950,59580.2,59780.6,59766.2,59755.2,59780.6,621690,371630.08,1215150,16590,30,59580.15
14-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60000,60269,59911.2,60108.2,60092,60083.6,60108.2,51960,31230.79,146100,-1710,30,59580.15
14-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60450,60661,60320,60507.4,60512.2,60489.4,60507.4,10860,6571.17,56250,-600,30,59580.15
16-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,59833,60280,59800,60194.4,60210,59780.6,60194.4,978570,588347.27,1279290,64140,30,60095.15
16-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60150.2,60582,60150.2,60511.4,60507.2,60108.2,60511.4,111180,67204.21,128940,-17160,30,60095.15
16-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60549.8,60974.8,60549.8,60897,60931.4,60507.4,60897,28470,17319.15,62160,5910,30,60095.15
19-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,60055,60058,59692.8,59891.4,59875,60194.4,59891.4,706020,422639.11,1159560,-119730,30,59891.35
19-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60395,60395,60041,60233,60191.4,60511.4,60233,107310,64595.24,154050,25110,30,59891.35
19-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60895.4,60895.4,60449.4,60622.6,60600,60897,60622.6,20160,12213.36,68850,6690,30,59891.35
20-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,59944,59975,59402.8,59483,59459.4,59891.4,59483,825000,492307.7,1114230,-45330,30,59404.2
20-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60300,60300,59750,59818.4,59790.2,60233,59818.4,160350,96207.8,220920,66870,30,59404.2
20-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60622.8,60665,60171.2,60227,60186,60622.6,60227,24450,14766.22,75360,6510,30,59404.2
21-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,59458.8,59543.4,58350,58855.8,58854.8,59483,58855.8,1301430,767749.7,1126530,12300,30,58800.3
21-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,59800.2,59866,58703.4,59201.6,59200,59818.4,59201.6,453420,268962.48,382020,161100,30,58800.3
21-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60005.2,60270,59125.2,59614.6,59600.8,60227,59614.6,75990,45386.69,84690,9330,30,58800.3
22-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,59160,59631.8,58913,59343.2,59390,58855.8,59343.2,1094250,648785.87,924900,-201630,30,59200.1
22-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,59401.6,59925,59250,59627.6,59670,59201.6,59627.6,470640,280363.39,567840,185820,30,59200.1
22-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,59743.6,60333,59600,60035.4,60085,59614.6,60035.4,51480,30895.8,84990,300,30,59200.1
23-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,59463,59464,58370,58522.8,58470.2,59343.2,58522.8,1046760,616503.68,817770,-107130,30,58473.1
23-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,59625,59712.2,58710,58829.4,58791,59627.6,58829.4,763710,452182.59,970230,402390,30,58473.1
23-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60099.8,60099.8,59132,59240.8,59202.4,60035.4,59240.8,74940,44618.18,99420,14430,30,58473.1
27-Jan-2026,27-Jan-2026,FUTIDX,BANKNIFTY,58559.6,59226.2,58132.8,59139.6,59205,58522.8,59205.45,973890,571671.69,547500,-270270,30,59205.45
27-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,58945.4,59771,58540.8,59629.6,59680,58829.4,59629.6,1296540,766982.37,1240290,270060,30,59205.45
27-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,59280.2,60150,58962.6,60003.8,60068.6,59240.8,60003.8,77880,46340.17,109800,10380,30,59205.45
28-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,59880,59977,59532.2,59866.4,59840,59629.6,59866.4,975510,583261.73,1332720,92430,30,59598.8
28-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60000.2,60351,59925,60243.8,60244.2,60003.8,60243.8,51180,30795.96,108210,-1590,30,59598.8
28-Jan-2026,28-Apr-2026,FUTIDX,BANKNIFTY,60300,60685,60298.2,60580.2,60580,60126.2,60580.2,10200,6169.97,3450,3450,30,59598.8
29-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,59900,60260.6,59705,60209.4,60246,59866.4,60209.4,894900,537156.2,1394730,62010,30,59957.85
29-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60192.6,60624.8,60092,60571.2,60600.6,60243.8,60571.2,45570,27528.19,103950,-4260,30,59957.85
29-Jan-2026,28-Apr-2026,FUTIDX,BANKNIFTY,60580.2,60945,60440,60905.4,60889,60580.2,60905.4,13740,8350.49,10680,7230,30,59957.85
30-Jan-2026,24-Feb-2026,FUTIDX,BANKNIFTY,60050,60170,59750,59908.6,59900,60209.4,59908.6,811830,486775.63,1332840,-61890,30,59610.45
30-Jan-2026,30-Mar-2026,FUTIDX,BANKNIFTY,60343.6,60509,60130,60295.8,60299.2,60571.2,60295.8,37560,22658.73,111870,7920,30,59610.45
30-Jan-2026,28-Apr-2026,FUTIDX,BANKNIFTY,60756.4,60850,60500,60633,60603,60905.4,60633,10140,6148.37,10080,-600,30,59610.45
