date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
02-Jan-2023,25-Jan-2023,FUTIDX,BANKNIFTY,43248.1,43535,43136.05,43393.8,43436.4,43165.9,43393.8,2930875,1271310.66,2189100,18850,25,43203.1
02-Jan-2023,23-Feb-2023,FUTIDX,BANKNIFTY,43016.35,43688,43016.3,43564.15,43600,43306.75,43564.15,118650,51653.35,179650,12075,25,43203.1
02-Jan-2023,29-Mar-2023,FUTIDX,BANKNIFTY,43586.6,43853.6,43500,43739.6,43751.6,43522.55,43739.6,24650,10774.11,10725,4350,25,43203.1
03-Jan-2023,25-Jan-2023,FUTIDX,BANKNIFTY,43388.75,43661,43348.3,43609.3,43634.95,43393.8,43609.3,2910475,1266808.01,2293650,104550,25,
03-Jan-2023,23-Feb-2023,FUTIDX,BANKNIFTY,43565.05,43836.4,43530.05,43784.05,43793.3,43564.15,43784.05,106800,46676,198200,18550,25,
03-Jan-2023,29-Mar-2023,FUTIDX,BANKNIFTY,43739.6,43965,43692.95,43922.95,43963.35,43739.6,43922.95,30925,13564.4,14300,3575,25,
04-Jan-2023,25-Jan-2023,FUTIDX,BANKNIFTY,43595.2,43710,43031,43136.15,43150,43609.3,43136.15,4463175,1932529.7,2344800,51150,25,42958.8
04-Jan-2023,23-Feb-2023,FUTIDX,BANKNIFTY,43780.45,43879.8,43220,43321.8,43329.05,43784.05,43321.8,161900,70385.23,212250,14050,25,42958.8
04-Jan-2023,29-Mar-2023,FUTIDX,BANKNIFTY,43989.85,44021,43380.2,43464.6,43470.55,43922.95,43464.6,44100,19234.74,18225,3925,25,42958.8
05-Jan-2023,25-Jan-2023,FUTIDX,BANKNIFTY,43255.3,43300,42473.6,42770.9,42752.25,43136.15,42770.9,4319925,1850727.61,2391650,46850,25,
05-Jan-2023,23-Feb-2023,FUTIDX,BANKNIFTY,43389.95,43474.15,42653,42935.75,42931.75,43321.8,42935.75,211375,90856.56,234675,22425,25,
